gene_id	476822_S10
ER3413_1966	2958
ER3413_1967	948
ER3413_1969	64
ER3413_197	3010
ER3413_1970	1359
ER3413_1971	1227
ER3413_1972	1505
ER3413_1973	1883
ER3413_1974	1280
ER3413_1975	987
ER3413_1976	1325
ER3413_1977	2508
ER3413_1978	3974
ER3413_1979	460
ER3413_198	1086
ER3413_1980	391
ER3413_1981	3212
ER3413_1982	615
ER3413_1983	4258
ER3413_1984	94
ER3413_1985	824
ER3413_1986	547
ER3413_1988	278
ER3413_1989	4063
ER3413_199	767
ER3413_1990	1892
ER3413_1991	862
ER3413_1992	3992
ER3413_1993	307
ER3413_1994	2376
ER3413_1995	818
ER3413_1996	1624
ER3413_1998	400
ER3413_1999	567
ER3413_2	3957
ER3413_20	7583
ER3413_200	1410
ER3413_2000	1541
ER3413_2001	189
ER3413_2002	1259
ER3413_2003	758
ER3413_2004	56
ER3413_2005	44
ER3413_2006	3535
ER3413_2007	1158
ER3413_2008	85
ER3413_2009	1550
ER3413_201	1512
ER3413_2010	421
ER3413_2011	2092
ER3413_2012	2451
ER3413_2014	1518
ER3413_2015	543
ER3413_202	2130
ER3413_2020	1356
ER3413_2021	2994
ER3413_2022	1383
ER3413_2023	377
ER3413_2024	1666
ER3413_2026	4531.53
ER3413_2027	0
ER3413_2028	0
ER3413_2029	0
ER3413_203	898
ER3413_2030	0
ER3413_2031	0
ER3413_2032	0
ER3413_2033	0
ER3413_2034	19706.8
ER3413_2035	5571.27
ER3413_2036	1072
ER3413_2037	1087
ER3413_2038	1
ER3413_2039	1547
ER3413_204	25465.83
ER3413_2040	0.25
ER3413_2041	15092
ER3413_2043	2931
ER3413_2044	3035
ER3413_2045	1268
ER3413_2046	0.25
ER3413_2047	4909
ER3413_2048	0.25
ER3413_2049	1373
ER3413_205	0.33
ER3413_2050	1571
ER3413_2051	0.25
ER3413_2052	1419
ER3413_2053	2311
ER3413_2054	1063
ER3413_2055	614
ER3413_2057	14381.11
ER3413_2059	13587.55
ER3413_206	0
ER3413_2060	1886.98
ER3413_2063	9088
ER3413_2064	3113
ER3413_2065	335
ER3413_2066	36
ER3413_2067	618
ER3413_2068	367
ER3413_2070	226
ER3413_2071	2511
ER3413_2073	911
